,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,246,0,254,0.492,0.0,0.0,1.0,0.0
1,0.95,137,239,7,117,0.752,0.9513888888888888,0.5393700787401575,0.9715447154471545,0.6884422110552765
2,0.9,144,236,10,110,0.76,0.935064935064935,0.5669291338582677,0.959349593495935,0.7058823529411765
3,0.85,149,234,12,105,0.766,0.9254658385093167,0.5866141732283464,0.9512195121951219,0.7180722891566265
4,0.8,161,233,13,93,0.788,0.9252873563218391,0.6338582677165354,0.9471544715447154,0.7523364485981308
5,0.75,165,232,14,89,0.794,0.9217877094972067,0.6496062992125984,0.943089430894309,0.7621247113163971
6,0.7,168,229,17,86,0.794,0.9081081081081082,0.6614173228346457,0.9308943089430894,0.765375854214123
7,0.65,171,228,18,83,0.798,0.9047619047619048,0.6732283464566929,0.926829268292683,0.7720090293453725
8,0.6,174,227,19,80,0.802,0.9015544041450777,0.6850393700787402,0.9227642276422764,0.7785234899328859
9,0.55,178,227,19,76,0.81,0.9035532994923858,0.7007874015748031,0.9227642276422764,0.7893569844789359
10,0.5,180,226,20,74,0.812,0.9,0.7086614173228346,0.9186991869918699,0.7929515418502202
11,0.45,183,225,21,71,0.816,0.8970588235294118,0.7204724409448819,0.9146341463414634,0.7991266375545852
12,0.4,185,225,21,69,0.82,0.8980582524271845,0.7283464566929134,0.9146341463414634,0.8043478260869565
13,0.35,188,223,23,66,0.822,0.8909952606635071,0.7401574803149606,0.9065040650406504,0.8086021505376345
14,0.3,190,222,24,64,0.824,0.8878504672897196,0.7480314960629921,0.9024390243902439,0.811965811965812
15,0.25,191,220,26,63,0.822,0.880184331797235,0.7519685039370079,0.8943089430894309,0.81104033970276
16,0.2,193,218,28,61,0.822,0.8733031674208145,0.7598425196850394,0.8861788617886179,0.8126315789473684
17,0.15,195,214,32,59,0.818,0.8590308370044053,0.7677165354330708,0.8699186991869918,0.8108108108108107
18,0.1,197,211,35,57,0.816,0.8491379310344828,0.7755905511811023,0.8577235772357723,0.8106995884773662
19,0.05,204,205,41,50,0.818,0.8326530612244898,0.8031496062992126,0.8333333333333334,0.8176352705410821
20,0.0,227,22,224,27,0.498,0.5033259423503326,0.8937007874015748,0.08943089430894309,0.6439716312056738
