,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,246,0,254,0.492,0.0,0.0,1.0,0.0
1,0.95,159,238,8,95,0.794,0.9520958083832335,0.6259842519685039,0.967479674796748,0.7553444180522566
2,0.9,170,235,11,84,0.81,0.9392265193370166,0.6692913385826772,0.9552845528455285,0.7816091954022989
3,0.85,174,234,12,80,0.816,0.9354838709677419,0.6850393700787402,0.9512195121951219,0.7909090909090909
4,0.8,177,233,13,77,0.82,0.9315789473684211,0.6968503937007874,0.9471544715447154,0.7972972972972973
5,0.75,181,233,13,73,0.828,0.9329896907216495,0.7125984251968503,0.9471544715447154,0.8080357142857144
6,0.7,185,232,14,69,0.834,0.9296482412060302,0.7283464566929134,0.943089430894309,0.8167770419426049
7,0.65,187,231,15,67,0.836,0.9257425742574258,0.7362204724409449,0.9390243902439024,0.8201754385964913
8,0.6,189,228,18,65,0.834,0.9130434782608695,0.7440944881889764,0.926829268292683,0.8199566160520607
9,0.55,191,228,18,63,0.838,0.9138755980861244,0.7519685039370079,0.926829268292683,0.8250539956803455
10,0.5,196,225,21,58,0.842,0.9032258064516129,0.7716535433070866,0.9146341463414634,0.8322717622080679
11,0.45,198,224,22,56,0.844,0.9,0.7795275590551181,0.9105691056910569,0.8354430379746837
12,0.4,200,222,24,54,0.844,0.8928571428571429,0.7874015748031497,0.9024390243902439,0.8368200836820084
13,0.35,202,221,25,52,0.846,0.8898678414096917,0.7952755905511811,0.8983739837398373,0.83991683991684
14,0.3,203,221,25,51,0.848,0.8903508771929824,0.7992125984251969,0.8983739837398373,0.8423236514522823
15,0.25,205,220,26,49,0.85,0.8874458874458875,0.8070866141732284,0.8943089430894309,0.845360824742268
16,0.2,208,218,28,46,0.852,0.8813559322033898,0.8188976377952756,0.8861788617886179,0.8489795918367348
17,0.15,209,217,29,45,0.852,0.8781512605042017,0.8228346456692913,0.8821138211382114,0.8495934959349594
18,0.1,210,216,30,44,0.852,0.875,0.8267716535433071,0.8780487804878049,0.8502024291497976
19,0.05,216,209,37,38,0.85,0.8537549407114624,0.8503937007874016,0.8495934959349594,0.8520710059171597
20,0.0,240,11,235,14,0.502,0.5052631578947369,0.9448818897637795,0.044715447154471545,0.6584362139917697
