,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,25,0,25,0.5,0.0,0.0,1.0,0.0
1,0.95,12,23,2,13,0.7,0.8571428571428571,0.48,0.92,0.6153846153846153
2,0.9,14,22,3,11,0.72,0.8235294117647058,0.56,0.88,0.6666666666666666
3,0.85,14,20,5,11,0.68,0.7368421052631579,0.56,0.8,0.6363636363636364
4,0.8,16,20,5,9,0.72,0.7619047619047619,0.64,0.8,0.6956521739130435
5,0.75,16,20,5,9,0.72,0.7619047619047619,0.64,0.8,0.6956521739130435
6,0.7,16,20,5,9,0.72,0.7619047619047619,0.64,0.8,0.6956521739130435
7,0.65,17,20,5,8,0.74,0.7727272727272727,0.68,0.8,0.7234042553191491
8,0.6,17,20,5,8,0.74,0.7727272727272727,0.68,0.8,0.7234042553191491
9,0.55,17,18,7,8,0.7,0.7083333333333334,0.68,0.72,0.6938775510204083
10,0.5,17,18,7,8,0.7,0.7083333333333334,0.68,0.72,0.6938775510204083
11,0.45,19,18,7,6,0.74,0.7307692307692307,0.76,0.72,0.7450980392156863
12,0.4,19,18,7,6,0.74,0.7307692307692307,0.76,0.72,0.7450980392156863
13,0.35,19,18,7,6,0.74,0.7307692307692307,0.76,0.72,0.7450980392156863
14,0.3,19,18,7,6,0.74,0.7307692307692307,0.76,0.72,0.7450980392156863
15,0.25,19,18,7,6,0.74,0.7307692307692307,0.76,0.72,0.7450980392156863
16,0.2,19,18,7,6,0.74,0.7307692307692307,0.76,0.72,0.7450980392156863
17,0.15,20,16,9,5,0.72,0.6896551724137931,0.8,0.64,0.7407407407407408
18,0.1,21,16,9,4,0.74,0.7,0.84,0.64,0.7636363636363636
19,0.05,21,14,11,4,0.7,0.65625,0.84,0.56,0.736842105263158
20,0.0,25,0,25,0,0.5,0.5,1.0,0.0,0.6666666666666666
