,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,25,0,25,0.5,0.0,0.0,1.0,0.0
1,0.95,8,21,4,17,0.58,0.6666666666666666,0.32,0.84,0.43243243243243246
2,0.9,9,21,4,16,0.6,0.6923076923076923,0.36,0.84,0.47368421052631576
3,0.85,9,21,4,16,0.6,0.6923076923076923,0.36,0.84,0.47368421052631576
4,0.8,10,21,4,15,0.62,0.7142857142857143,0.4,0.84,0.5128205128205129
5,0.75,10,21,4,15,0.62,0.7142857142857143,0.4,0.84,0.5128205128205129
6,0.7,10,20,5,15,0.6,0.6666666666666666,0.4,0.8,0.5
7,0.65,10,20,5,15,0.6,0.6666666666666666,0.4,0.8,0.5
8,0.6,10,20,5,15,0.6,0.6666666666666666,0.4,0.8,0.5
9,0.55,10,20,5,15,0.6,0.6666666666666666,0.4,0.8,0.5
10,0.5,10,20,5,15,0.6,0.6666666666666666,0.4,0.8,0.5
11,0.45,12,20,5,13,0.64,0.7058823529411765,0.48,0.8,0.5714285714285713
12,0.4,12,20,5,13,0.64,0.7058823529411765,0.48,0.8,0.5714285714285713
13,0.35,12,20,5,13,0.64,0.7058823529411765,0.48,0.8,0.5714285714285713
14,0.3,12,20,5,13,0.64,0.7058823529411765,0.48,0.8,0.5714285714285713
15,0.25,12,20,5,13,0.64,0.7058823529411765,0.48,0.8,0.5714285714285713
16,0.2,12,20,5,13,0.64,0.7058823529411765,0.48,0.8,0.5714285714285713
17,0.15,12,20,5,13,0.64,0.7058823529411765,0.48,0.8,0.5714285714285713
18,0.1,12,19,6,13,0.62,0.6666666666666666,0.48,0.76,0.5581395348837209
19,0.05,12,19,6,13,0.62,0.6666666666666666,0.48,0.76,0.5581395348837209
20,0.0,25,0,25,0,0.5,0.5,1.0,0.0,0.6666666666666666
